,機關名稱,機關地址,Longitude,Latitude,類型
272,基河公園,,121.52401733,25.080039978,公共活動空間
273,基隆河沖洗溝加蓋綠地,,121.52316284,25.084049225,公共活動空間
274,華聲公園,,121.52249146,25.095979691,公共活動空間
275,新佳公園,,121.5194931,25.098630905,公共活動空間
276,福中公園,,121.51883698,25.087919235,公共活動空間
277,福志公園,,121.53405762,25.099050522,公共活動空間
278,福華公園,,121.5189218,25.0821799,公共活動空間
279,福順公園,,121.51113129,25.082349777,公共活動空間
280,翠山公園,,121.56995,25.10845,公共活動空間
281,德仁公園,,121.52146149,25.102659225,公共活動空間
282,德行公園,,121.52365112,25.105110168,公共活動空間
283,線形公園-前街,,121.524831,25.097214,公共活動空間
284,線形公園-劍潭,,121.523387,25.079087,公共活動空間
285,衛理兒童遊戲場,,121.55330658,25.102329254,公共活動空間
286,磺溪公園,,121.52062988,25.104879379,公共活動空間
287,蘭雅1號公園,,121.5291121,25.1099324,公共活動空間
288,蘭雅公園,,121.529919,25.109744,公共活動空間
289,蘭興公園,,121.525193,25.111029,公共活動空間
290,209號綠地,,121.52806854,25.092599869,公共活動空間
291,士林116號綠地,,121.51360321,25.096460342,公共活動空間
292,士林117號綠地,,121.51390076,25.09703064,公共活動空間
293,士林118號綠地,,121.51946259,25.093179703,公共活動空間
294,士林120號綠地,,121.52044678,25.09305954,公共活動空間
295,士林121號綠地,,121.51580811,25.092269897,公共活動空間
296,士林128號綠地,,121.5223465,25.084669113,公共活動空間
297,士林130號綠地,,121.50258636,25.089599609,公共活動空間
298,士林131號綠地,,121.50559235,25.090789795,公共活動空間
299,士林132號綠地,,121.50682068,25.090660095,公共活動空間
300,士林136號綠地,,121.51091003,25.086910248,公共活動空間
301,士林139號綠地,,121.50940704,25.084869385,公共活動空間
302,士林151號綠地,,121.54843903,25.095760345,公共活動空間
303,士林156號綠地,,121.554827,25.103392,公共活動空間
304,士林173號綠地 (蘭興1號綠地),,121.52619934,25.112800598,公共活動空間
305,士林179號綠地,,121.52942657,25.104330063,公共活動空間
306,士林197號綠地,,121.558964,25.136188,公共活動空間
307,士林198號綠地,,121.55392,25.141013,公共活動空間
308,士林199號綠地,,121.55845642,25.140520096,公共活動空間
309,士林200號綠地,,121.5616684,25.136980057,公共活動空間
310,士林201號綠地,,121.56066895,25.133640289,公共活動空間
311,士林206綠地(番仔田綠地),,121.54802704,25.097959518,公共活動空間
312,士林207綠地(番仔田小綠地),,121.54839325,25.096759796,公共活動空間
313,士林208號綠地,,121.5337677,25.097330093,公共活動空間
314,士林4號綠地,,121.54627228,25.136880875,公共活動空間
315,士林68號綠地,,121.53643036,25.099069595,公共活動空間
316,士林73號綠地 (天美綠地),,121.52597046,25.121599197,公共活動空間
317,士林75號綠地,,121.529441,25.123203,公共活動空間
318,士林76號綠地,,121.532776,25.124725,公共活動空間
319,士林79號綠地,,121.52677917,25.115579605,公共活動空間
320,士林80天壽二號,,121.52642059,25.113260269,公共活動空間
321,士林89號綠地,,121.52893066,25.105770110999998,公共活動空間
322,天福綠地,,121.532547,25.116750717,公共活動空間
323,永倫綠地,,121.50052643,25.091520309,公共活動空間
324,至臨綠地,,121.55560303,25.104290009,公共活動空間
325,東吳綠地,,121.5427475,25.096580505,公共活動空間
326,添壽一號綠地,,121.52690125,25.116739273,公共活動空間
327,聖山綠地,,121.53234863,25.106830597,公共活動空間
328,福文公園,,121.52722931,25.090650558,公共活動空間
329,士林3號廣場,,121.52461243,25.104530334,公共活動空間
330,士林4號廣場,,121.53199005,25.096050262,公共活動空間
331,天母廣場,,121.5300827,25.118749619,公共活動空間
332,天生廣場,,121.53125,25.126190186,公共活動空間
333,一江公園,,121.53125763,25.053279877,公共活動空間
334,八二三砲戰紀念公園,,121.52677155,25.076799393,公共活動空間
335,力行三號公園,,121.53668976,25.085430145,公共活動空間
336,下埤公園,,121.5422821,25.06701088,公共活動空間
337,下塔悠公園,,121.55956268,25.076929092,公共活動空間
338,上塔悠公園,,121.55200195,25.077510834,公共活動空間
339,大佳社區公園,,121.53765869,25.072750092,公共活動空間
340,大直公園,,121.54727936,25.082710266,公共活動空間
341,中427公園,,121.55599213,25.080329895,公共活動空間
342,中428公園,,121.553485,25.078447,公共活動空間
343,中429公園,,121.555858,25.078469,公共活動空間
344,中430公園,,121.56208038,25.078290939,公共活動空間
345,中431公園,,121.56520844,25.077400208,公共活動空間
346,中山21號廣場,,121.55628204,25.080799103,公共活動空間
347,中吉公園,,121.53183746,25.056360245,公共活動空間
348,中安公園 ,,121.52398682,25.056489944,公共活動空間
349,中原公園,,121.52858734,25.055810928,公共活動空間
350,仁德公園,,121.52908325,25.053180695000002,公共活動空間
351,四平公園,,121.53450775,25.053230286,公共活動空間
352,正守公園,,121.528745,25.048051,公共活動空間
353,民享公園,,121.52111053,25.059230804,公共活動空間
354,永安公園,,121.54521179,25.079120636,公共活動空間
355,永直公園,,121.55052948,25.08147049,公共活動空間
356,永靜公園,,121.52178192,25.061559677,公共活動空間
357,伊通公園,,121.53476715,25.050159454,公共活動空間
358,吉林公園,,121.52893066,25.050825119,公共活動空間
359,合江公園,,121.53948212,25.058660507,公共活動空間
360,朱昌公園,,121.53881836,25.055459976,公共活動空間
361,朱厝崙公園,,121.5410614,25.047550201,公共活動空間
362,朱崙公園,,121.54168701,25.049339294,公共活動空間
363,江寧公園,,121.53941345,25.061229706,公共活動空間
364,自強公園,,121.548603,25.086019,公共活動空間
365,明水公園,,121.54805756,25.078819275,公共活動空間
366,林森公園,,121.52587128,25.052339554,公共活動空間
367,松江公園,,121.53246307,25.050369263,公共活動空間
368,松錦1號公園,,121.532404,25.060117,公共活動空間
369,松錦2號公園,,121.532089,25.059608,公共活動空間
370,直安公園,,121.54785156,25.081199646,公共活動空間
371,花博公園美術園區,,121.5239563,25.07060051,公共活動空間
372,花博公園圓山園區,,121.52062225,25.071569443,公共活動空間
373,花博公園新生園區,,121.53050232,25.068569183,公共活動空間
374,金泰公園,,121.565167,25.076495,公共活動空間
375,建興公園,,121.53817749,25.047149658,公共活動空間
376,培英公園,,121.54498291,25.082269669,公共活動空間
377,康樂公園,,121.52514648,25.053409576,公共活動空間
378,復華公園,,121.53968048,25.053129196,公共活動空間
379,晴光公園,,121.52456665,25.063899994,公共活動空間
380,華山公園,,121.525861,25.047745,公共活動空間
381,進安公園,,121.53746796,25.045869827,公共活動空間
382,集英公園,,121.521344,25.065402,公共活動空間
383,敬業公園,,121.556045,25.085728,公共活動空間
384,新喜公園,,121.53218842,25.065429688,公共活動空間
385,新祿公園,,121.52964783,25.067159653,公共活動空間
386,新壽公園,,121.52992249,25.063310623,公共活動空間
387,農安公園,,121.53526306,25.065280914,公共活動空間
388,聚葉公園,,121.527236,25.060496,公共活動空間
389,劍潭公園,,121.524598,25.080108,公共活動空間
390,德惠公園,,121.53156281,25.067489624,公共活動空間
391,撫順公園,,121.52199,25.064579,公共活動空間
392,興安公園,,121.54177856,25.055679321,公共活動空間
393,興亞公園,,121.53160095,25.047380447,公共活動空間
394,興國公園,,121.541941,25.0531,公共活動空間
395,錦北公園,,121.53582764,25.060489655,公共活動空間
396,錦州公園,,121.52931976,25.060619354,公共活動空間
397,龍江公園,,121.54216003,25.059820175,公共活動空間
398,雙城公園,,121.52401733,25.067310333,公共活動空間
399,力行1號綠地,,121.53887177,25.084100723,公共活動空間
400,力行2號綠地,,121.53793335,25.083349228,公共活動空間
401,中山129號綠地,,121.53967285,25.053720474,公共活動空間
402,中山161號綠地,,121.53315735,25.078069687,公共活動空間
403,中山240號綠地,,121.54959869,25.086969376,公共活動空間
404,中山381號綠地,,121.54720306,25.07959938,公共活動空間
405,中山411號綠地,,121.55644989,25.0832901,公共活動空間
406,中山412號綠地,,121.55645752,25.082300186,公共活動空間
407,中山413號綠地,,121.55619812,25.083320618,公共活動空間
408,中山414號綠地,,121.5561676,25.081260681,公共活動空間
409,中山415號綠地,,121.55262756,25.080120087,公共活動空間
410,中山416號綠地,,121.55377197,25.080070496,公共活動空間
411,中山417號綠地,,121.5552597,25.080070496,公共活動空間
412,中山418號綠地,,121.55737305,25.080059052,公共活動空間
413,中山419號綠地,,121.55934143,25.080039978,公共活動空間
414,中山420號綠地,,121.56099701,25.080049515,公共活動空間
415,中山421號綠地,,121.56217194,25.080379485999998,公共活動空間
416,中山422號綠地,,121.552742,25.079860687,公共活動空間
417,中山423號綠地,,121.55380249,25.079839706,公共活動空間
418,中山424號綠地,,121.55491638,25.079839706,公共活動空間
419,中山425號綠地,,121.55581665,25.079839706,公共活動空間
420,中山426號綠地,,121.56221771,25.08011055,公共活動空間
421,長春綠地,,121.53800964,25.052900314,公共活動空間
422,中山4號廣場,,121.52052307,25.052610397,公共活動空間
423,九華公園,,121.56137848,25.088590622,公共活動空間
424,下灣公園,,121.59069824,25.066810608,公共活動空間
425,上灣公園,,121.59584045,25.065460205,公共活動空間
426,大坑公園,,121.598706,25.069037,公共活動空間
427,大港墘公園,,121.5729968,25.0774149,公共活動空間
428,山腳公園,,121.57990265,25.084089279,公共活動空間
429,五分公園,,121.61479187,25.067119598,公共活動空間
430,內湖125號公園,,121.61125946,25.064699173,公共活動空間
431,文心公園,,121.58418274,25.065450668,公共活動空間
432,文湖公園,,121.560993,25.087427,公共活動空間
433,文德3號公園,,121.57711792,25.075090408,公共活動空間
434,文德二號公園,,121.58374023,25.077859879,公共活動空間
435,仙樹公園,,121.56900024,25.085609436,公共活動空間
436,北勢湖公園,,121.56168365,25.083749771,公共活動空間
437,安泰公園,,121.61863708,25.07408905,公共活動空間
438,安康公園(下),,121.61061859,25.067209244,公共活動空間
439,安康公園(上),,121.61238098,25.067129135,公共活動空間
440,安湖三號公園,,121.61569214,25.070419312,公共活動空間
441,安湖公園,,121.61541748,25.074020386,公共活動空間
442,行善公園,,121.57557678,25.053260803,公共活動空間
443,西安公園,,121.56748199,25.087450027,公共活動空間
444,西安廣場,,121.56085205,25.086759567,公共活動空間
445,西康二號公園,,121.5639267,25.084980011,公共活動空間
446,西康公園,,121.56439209,25.083120346,公共活動空間
447,西湖公園,,121.57038879,25.083610535,公共活動空間
